"","subject","modality","accuracy","mean(confidence, na.rm = T)"
"145",19,"Calories",0,5.63636363636364
"146",19,"Calories",1,6.17647058823529
"147",19,"GDP",0,4.6
"148",19,"GDP",1,5.7972972972973
"149",19,"memory",0,3.6304347826087
"150",19,"memory",1,5.31168831168831
"151",19,"vision",0,4.68965517241379
"152",19,"vision",1,4.92253521126761
"153",20,"Calories",0,3.96
"154",20,"Calories",1,5.85074626865672
"155",20,"GDP",0,3.35135135135135
"156",20,"GDP",1,4.57746478873239
"157",20,"memory",0,2.26315789473684
"158",20,"memory",1,5.53038674033149
"159",20,"vision",0,2.17647058823529
"160",20,"vision",1,3.06711409395973
"161",21,"Calories",0,4.44444444444444
"162",21,"Calories",1,5.72058823529412
"163",21,"GDP",0,2.6875
"164",21,"GDP",1,3.7887323943662
"165",21,"memory",0,2.20338983050847
"166",21,"memory",1,3.81428571428571
"167",21,"vision",0,2
"168",21,"vision",1,2.75342465753425
"169",22,"Calories",0,5.3448275862069
"170",22,"Calories",1,5.90123456790123
"171",22,"GDP",0,5.18518518518519
"172",22,"GDP",1,6.18333333333333
"173",22,"memory",0,3.62962962962963
"174",22,"memory",1,6.08720930232558
"175",22,"vision",0,3.96153846153846
"176",22,"vision",1,4.83783783783784
"177",23,"Calories",0,5.27586206896552
"178",23,"Calories",1,6.07575757575758
"179",23,"GDP",0,2.75757575757576
"180",23,"GDP",1,5.76056338028169
"181",23,"memory",0,2.13888888888889
"182",23,"memory",1,4.18705035971223
"183",23,"vision",0,2.74545454545455
"184",23,"vision",1,4.44137931034483
"185",24,"Calories",0,6.22222222222222
"186",24,"Calories",1,5.91304347826087
"187",24,"GDP",0,5.17857142857143
"188",24,"GDP",1,5.86666666666667
"189",24,"memory",0,2.54545454545455
"190",24,"memory",1,6.23809523809524
"191",24,"vision",0,3.25454545454545
"192",24,"vision",1,4.2551724137931
"193",25,"Calories",0,4.20833333333333
"194",25,"Calories",1,5.40789473684211
"195",25,"GDP",0,2.46666666666667
"196",25,"GDP",1,4.04411764705882
"197",25,"memory",0,2.45945945945946
"198",25,"memory",1,4.31288343558282
"199",25,"vision",0,2.92982456140351
"200",25,"vision",1,3.71328671328671
"201",26,"Calories",0,4.95833333333333
"202",26,"Calories",1,6.04411764705882
"203",26,"GDP",0,1.80645161290323
"204",26,"GDP",1,3.09090909090909
"205",26,"memory",0,2.73076923076923
"206",26,"memory",1,4.52702702702703
"207",26,"vision",0,3.71428571428571
"208",26,"vision",1,4.71527777777778
"209",27,"Calories",0,4.78571428571429
"210",27,"Calories",1,5.98591549295775
"211",27,"GDP",0,2.36842105263158
"212",27,"GDP",1,2.93333333333333
"213",27,"memory",0,2.875
"214",27,"memory",1,4.41258741258741
"215",27,"vision",0,3.93220338983051
"216",27,"vision",1,4.54609929078014
"217",28,"Calories",0,4.64
"218",28,"Calories",1,5.63380281690141
"219",28,"GDP",0,4.6551724137931
"220",28,"GDP",1,5.69444444444444
"221",28,"memory",0,4.10344827586207
"222",28,"memory",1,4.50442477876106
"223",28,"vision",0,5.61224489795918
"224",28,"vision",1,5.8476821192053
"225",29,"Calories",0,4.93939393939394
"226",29,"Calories",1,5.42307692307692
"227",29,"GDP",0,2.56
"228",29,"GDP",1,3.83870967741935
"229",29,"memory",0,3.44262295081967
"230",29,"memory",1,4.36363636363636
"231",29,"vision",0,3.40740740740741
"232",29,"vision",1,4.09090909090909
"233",30,"Calories",0,4.03448275862069
"234",30,"Calories",1,4.56716417910448
"235",30,"GDP",0,3.76923076923077
"236",30,"GDP",1,4.58441558441558
"237",30,"memory",0,4.43243243243243
"238",30,"memory",1,5.73125
"239",30,"vision",0,4.17241379310345
"240",30,"vision",1,4.59712230215827
"241",31,"Calories",0,4.44444444444444
"242",31,"Calories",1,5.61904761904762
"243",31,"GDP",0,3.25714285714286
"244",31,"GDP",1,5.5
"245",31,"memory",0,3.27083333333333
"246",31,"memory",1,4.76335877862595
"247",31,"vision",0,2.91228070175439
"248",31,"vision",1,3.86713286713287
"249",32,"Calories",0,6.20689655172414
"250",32,"Calories",1,6.48684210526316
"251",32,"GDP",0,4.25
"252",32,"GDP",1,5.50746268656716
"253",32,"memory",0,4.89285714285714
"254",32,"memory",1,5.43965517241379
"255",32,"vision",0,4.12280701754386
"256",32,"vision",1,4.88028169014085
"257",33,"Calories",0,4.65384615384615
"258",33,"Calories",1,5.85074626865672
"259",33,"GDP",0,2.72727272727273
"260",33,"GDP",1,4.87837837837838
"261",33,"memory",0,1.675
"262",33,"memory",1,2.8
"263",33,"vision",0,3.0377358490566
"264",33,"vision",1,4.8843537414966
"265",34,"Calories",0,5.06060606060606
"266",34,"Calories",1,5.5
"267",34,"GDP",0,2.96296296296296
"268",34,"GDP",1,4.890625
"269",34,"memory",0,3.14035087719298
"270",34,"memory",1,4.74125874125874
"271",34,"vision",0,3.63461538461538
"272",34,"vision",1,4.85810810810811
"273",35,"Calories",0,4.85294117647059
"274",35,"Calories",1,6.14492753623188
"275",35,"GDP",0,3.1
"276",35,"GDP",1,4.22727272727273
"277",35,"memory",0,2.36842105263158
"278",35,"memory",1,5.25465838509317
"279",35,"vision",0,4.28767123287671
"280",35,"vision",1,4.85714285714286
"281",36,"Calories",0,4.7741935483871
"282",36,"Calories",1,5.16216216216216
"283",36,"GDP",0,4.30434782608696
"284",36,"GDP",1,5.62857142857143
"285",36,"memory",0,3.3
"286",36,"memory",1,5.00588235294118
"287",36,"vision",0,3.67857142857143
"288",36,"vision",1,4.26573426573427
"289",37,"Calories",0,4.28571428571429
"290",37,"Calories",1,5.58823529411765
"291",37,"GDP",0,4.11111111111111
"292",37,"GDP",1,5.01315789473684
"293",37,"memory",0,2.03448275862069
"294",37,"memory",1,4.42352941176471
"295",37,"vision",0,4.01666666666667
"296",37,"vision",1,4.45
"297",38,"Calories",0,5.02857142857143
