"","subj","gender","mem_pre","vis_pre","gdp_pre","cal_pre","mem_post","vis_post","gdp_post","cal_post","avg_pre","avg_post","mem_acc","mem_conf","mem_rt","vis_acc","vis_conf","vis_rt","gdp_acc","gdp_conf","gdp_rt","cal_acc","cal_conf","cal_rt","avg_acc","avg_conf","avg_rt"
"15",15,"Masculin",25,20,85,68,10,20,60,70,49.5,40,0.715,4.36,2.05115624412476,0.715,4.45226130653266,1.0186058715,0.690721649484536,5.11458333333333,2.27010932938151,0.747572815533981,5.87254901960784,2.57226315407313,0.717073616254629,4.94984841486846,1.97803364976985
"16",16,"Feminin",90,70,50,70,50,50,40,70,70,52.5,0.785,3.975,1.97553159049997,0.715,2.65,0.936562643499997,0.65979381443299,2.05154639175258,1.50277019096264,0.728155339805825,6.2621359223301,1.7026350579398,0.721987288559704,3.73467057852067,1.5293748707256
"17",17,"Masculin",40,20,5,5,50,60,25,10,17.5,36.25,0.765,3.6,2.1104469490255,0.675,4.23618090452261,0.715923020999976,0.734513274336283,3.84070796460177,1.46500699949033,0.701149425287356,4.83908045977012,1.8616895696226,0.71891567490591,4.12899233222362,1.5382666347846
"18",18,"Masculin",75,85,80,75,80,50,70,50,78.75,62.5,0.785,5.075,1.18304943550002,0.69,4.42211055276382,1.23716373050005,0.654545454545455,4.11818181818182,1.34386728298963,0.611111111111111,4.22222222222222,1.65486983383609,0.685164141414141,4.45937864829197,1.35473757070645
"19",19,"Feminin",40,60,60,60,40,50,40,60,55,47.5,0.77,4.925,1.31108994057828,0.71,4.855,0.671617682999995,0.747474747474748,5.49494949494949,1.67152888787876,0.673267326732673,6,1.36433199207918,0.725185518551855,5.31873737373737,1.25464212588405
"20",20,"Feminin",75,60,80,70,80,70,55,90,71.25,73.75,0.905,5.22,1.06053449299998,0.745,2.84,0.659464959499978,0.657407407407407,4.15740740740741,1.45910469722217,0.728260869565217,5.33695652173913,2.34551595978258,0.758917069243156,4.38859098228663,1.38115502737618
"21",21,"Feminin",80,70,50,60,30,50,50,80,65,52.5,0.705,3.33668341708543,2.08771128918926,0.73,2.55276381909548,0.918234599499979,0.692307692307692,3.44660194174757,2.49151301264083,0.71875,5.35789473684211,2.56618227734024,0.711514423076923,3.67348597869265,2.01591029466758
"22",22,"Masculin",78,85,90,85,85,70,88,78,84.5,80.25,0.865,5.75376884422111,2.16318452399999,0.74,4.61,1.35892691850001,0.689655172413793,5.8735632183908,2.00805713913219,0.725663716814159,5.75454545454545,3.22687154327368,0.755079722306988,5.49796937928934,2.18926003122647
"23",23,"Feminin",60,35,65,65,10,10,40,40,56.25,25,0.785,3.76571428571429,4.40874908463857,0.725,3.975,1.05481213499996,0.676190476190476,4.80769230769231,3.20041743899661,0.694736842105263,5.83157894736842,4.1689865183426,0.720231829573935,4.59499638519375,3.20824129424444
"24",24,"Masculin",75,80,75,85,94,60,87,70,78.75,77.75,0.945,6.035,1.30164610100001,0.725,3.98,1.30477858200001,0.730769230769231,5.67961165048544,1.71068020096159,0.71875,6,2.72198626145837,0.779879807692308,5.42365291262136,1.75977278635499
"25",25,"Masculin",85,85,75,60,60,50,50,75,76.25,58.75,0.815,3.97,2.4367931936554,0.715,3.49,0.961873248000024,0.696969696969697,3.56122448979592,2.00871298585859,0.762376237623762,5.12,2.11094270396038,0.747336483648365,4.03530612244898,1.8795805328686
"26",26,"Masculin",50,70,50,70,60,65,60,80,60,66.25,0.74,4.06,1.64414810299997,0.72,4.435,1.29610473749998,0.712962962962963,2.72222222222222,2.67217283796297,0.739130434782609,5.76086956521739,2.83228113695652,0.728023349436393,4.2445229468599,2.11117670385486
"27",27,"Feminin",60,70,50,70,60,50,30,70,62.5,52.5,0.715,3.97989949748744,3.08890055801977,0.705,4.365,1.05203415449999,0.616161616161616,2.71428571428571,5.01132078412934,0.722772277227723,5.64646464646465,4.89333655325857,0.689733473347335,4.17641246455945,3.51139801247692
"28",28,"Feminin",60,55,50,70,30,50,55,55,58.75,47.5,0.565,4.33,0.927624249000069,0.755,5.79,0.963180173500009,0.705882352941177,5.3960396039604,3.39989590223406,0.744897959183674,5.375,3.22325567071667,0.692695078031212,5.2227599009901,2.1284889988627
"29",29,"Feminin",30,40,70,80,40,40,30,50,55,40,0.67,4.03508771929825,1.40573767054727,0.73,3.90355329949239,1.00579427450002,0.71264367816092,3.47126436781609,2.032533261594,0.699115044247788,5.27927927927928,1.99675917681805,0.702939680602177,4.1722961664715,1.61020609586484
"30",30,"Feminin",50,50,40,60,60,45,25,50,50,45,0.815,5.48730964467005,1.2691672015,0.71,4.47208121827411,0.874691616499981,0.740384615384615,4.37864077669903,2.05816256346154,0.697916666666667,4.40625,2.34363020729168,0.74082532051282,4.6860704099108,1.6364128971883
"31",31,"Masculin",85,85,85,70,52,75,90,80,81.25,74.25,0.74,4.36312849162011,2.37525953953656,0.715,3.595,1.20690047549999,0.672727272727273,4.77981651376147,1.57276302090911,0.7,5.26666666666667,1.84277345222226,0.706931818181818,4.50115291801206,1.74942412204198
"32",32,"Masculin",90,80,80,95,40,90,75,98,86.25,75.75,0.58,5.21,1.38621552949999,0.715,4.66331658291457,0.855163680000007,0.705263157894737,5.13684210526316,2.22982777368422,0.723809523809524,6.40952380952381,1.96160153238098,0.681018170426065,5.35492062442539,1.6082021288913
"33",33,"Feminin",70,90,60,85,30,70,60,80,76.25,60,0.6,2.35,1.72450343458737,0.735,4.395,0.634091685499957,0.691588785046729,4.21495327102804,1.5299835636227,0.720430107526882,5.51612903225806,1.79472467270576,0.686754723143403,4.11902057582153,1.42082583910394
"34",34,"Feminin",50,50,60,75,65,75,55,85,58.75,70,0.715,4.285,1.20678978599998,0.74,4.54,0.687834293999997,0.703296703296703,4.31868131868132,1.70815844312939,0.697247706422018,5.36697247706422,1.82431421390433,0.71388610242968,4.62766344893639,1.35677418425842
"35",35,"Feminin",50,40,50,60,60,30,30,60,50,45,0.805,4.7035175879397,2.45372284942065,0.635,4.64824120603015,0.820705840500004,0.6875,3.875,2.61854722221308,0.673076923076923,5.71844660194175,2.04889953647898,0.700144230769231,4.7363013489779,1.98546886215318
"36",36,"Masculin",70,75,90,60,80,75,90,80,73.75,81.25,0.85,4.75,1.72634230000002,0.72,4.10050251256281,1.28541953650001,0.747368421052632,5.3010752688172,3.13012648526321,0.704761904761905,5.04761904761905,2.86437127904768,0.755532581453634,4.79979920724977,2.25156490020273
"37",37,"Feminin",70,50,80,80,75,80,60,60,70,68.75,0.855,4.07537688442211,1.52912560521165,0.7,4.32,0.806664739000018,0.730769230769231,4.77669902912621,4.04503688269233,0.708333333333333,5.20833333333333,2.89545598229164,0.748525641025641,4.59510231172041,2.31907080229891
